dataset,doc_index,topic,quality,correctly_cleaned,private,harmful,num_chars,num_sentences,text_preview
fineweb,0,forum post,3,partial,no,no,414,8,"|Viewing Single Post From: Spoilers for the Week of February 11th| |Lil||Feb 1 2013, 09:58 AM| Don't care about Chloe/Taniel/Jen-Jen. Don't care about Sami, really, but hoping that we get some good ""SAMANTHA GENE!!"" Marlena Death-Stares out of it. And ""newfound"" feelings. Please. If only. STEFANO!! "
fineweb,1,blog post,5,partial,no,no,3018,41,"*sigh* Fundamentalist community, let me pass on some advice to you I learned from the atheistic community: If you have set yourself on fire, do not run. Okay? Okay?? Please? Look, D, you had two months to say to Harvard in private emails, ""Im sorry, I shouldnt have been using that animation in my pa"
fineweb,2,news article,4,partial,no,no,2825,26,A novel two-step immunotherapy approach has shown clinically beneficial responses in patients with advanced ovarian cancer. Following Lifestyle Recommendations Reduces Risk of Cancer Death People who follow the diet and lifestyle recommendations laid out by the WCRF and the AICR have a 20 percent re
fineweb,3,blog post,6,yes,no,no,2467,25,"Free the Cans! Working Together to Reduce Waste In a blog about how people share, it’s worth the occasional reference to the bizarre ways that people DON’T SHARE. Is it safe to say we live in a society that places great value on independence, private property, personal space, and privacy? Even somet"
fineweb,4,news article,6,yes,no,no,3303,17,"ORLANDO, Fla. — While the Rapid Recall Exchange, the 2-year-old industry recall portal, has signed up more than 600 manufacturer and retailer subscribers, it still lacks the “critical mass” of suppliers that would make it a primary source of recall information, according to trade association officia"
fineweb,5,news article,5,partial,no,no,2744,19,"September 28, 2010 2010 Season - Bowman pulls down CCIW honor |Matt Bowman was named CCIW ""Runner of the Week"" after his fourth place finish at the Brissman-Lundeen Invitational in Rock Island, Illinois on September 24.| Augustana senior Matt Bowman (Geneva HS, Elburn, Ill.) was selected as the “Run"
fineweb,6,news article,7,yes,no,no,1544,11,"Kraft Foods has taken the Cadbury chocolate brand in a new direction, by combining it with cheese for the first time. The company is bringing together two of its brands and launching Philadelphia with Cadbury, a chilled chocolate spread made from Philadelphia Light and Cadbury chocolate. Kraft belie"
fineweb,7,error/stub,1,no,no,no,417,4,"You must be a registered member to view this page.| If you are already a member, sign in now. To register for your own account, sign up now. Signing up will REMOVE MOST OF THE ANNOYING ADS from your screen. CLICK HERE TO CREATE YOUR ACCOUNT - Get advice - Make friends - Share your expertise - Post i"
fineweb,8,news article,5,partial,no,no,3539,15,"|Facility Type:||Full Service Restaurant| |Inspection date:||March 27, 2012| |Number of critical violations:||3| |Number of non-critical violations:||3| Definition of critical and non critical violations |Code||Observation / Corrective Action| |2-201.11(A)(1)-(5)|| Critical Repeat Upon discussion wi"
fineweb,9,blog post,6,yes,no,no,1764,19,"News of the Week Barrie Spring Studio Tour April 27th & 28th 10:00 til 4:00 pm Come on down to Jill Price Studios this weekend to check out works I have created over the last year, as well as find some neat works from my artistic past in tje awesome sales bins created just for this weekend. You will"
fineweb,10,blog post,5,partial,no,no,1307,9,"Category Archives: 2010 – 2011 TO: The University Community RE: Budget Challenges for 2011-2012 and the 2011 Regular Legislative Session Weeks ago, the Jindal administration sought to lessen state-wide tensions over the future funding of postsecondary education by announcing that any budget cut for "
fineweb,11,blog post,4,partial,no,no,476,6,"The Net Neutrality repeal vote is coming. Tell these Dems to vote Yes. The House of Representatives is likely to vote tomorrow, Thursday, on the repeal of the FCC’s Net Neutrality power grab. Using the Congressional Review Act, the repeal of the Net Neutrality order can be accomplished in an expedit"
fineweb,12,error/stub,1,no,no,no,414,4,"Game Index | Deeper into the DarklandsYour Next Campaign picks up the action at Act II, in Beneath a Granite Sky, Part II. [ Read FAQ | Subscribe to RSS | Partner Sites | Contact Us | Advertise with Us ] Copyright © 1996-2009 Skotos Tech, Inc. & individual authors, All Rights Reserved Compilation co"
fineweb,13,product review,2,no,no,no,321,5,Great decorating addition I have a grape/Italian theme in my kitchen. I purchased 5 of these. I decided to use them to put around my pull knobs on my overhead cabinets. Now I am ordering more to sprinkle around in other places in the kitchen - even to hang up via suction cups on my white kitchen til
fineweb,14,product page,3,partial,no,no,830,13,"Bible-black with a blinding white logo raging across the chest. It’s the time honoured Black Band Tee. Every band has one. If you’re in a band and you ain’t got a Black Band Tee then you ain’t even in a band, you’re in a sham! And if you’re a fan of a band and you don’t own the Black Band Tee then w"
fineweb,15,product page,4,yes,no,no,931,7,"No matter what you do, it just won’t stop — and you like it. It’s not your mom’s relentless text messages (unfailingly signed “Love, Mom”), the chocolates your boyfriend sends to your cubicle daily (you wish), or even that stupid overplayed commercial (which happens to be hilarious). It’s the exhila"
fineweb,16,news article,6,yes,no,no,2804,20,Michigan unemployment claims workers are losing their jobs. NEW YORK (CNNMoney) -- Many jobless claims workers in the state of Michigan will soon be filing for unemployment themselves. About 400 state workers who process unemployment claims are losing their jobs thanks to Michigan's improving econom
fineweb,17,news article,4,partial,no,no,4977,32,"A week ago, talk about Nebraska's running game centered on its stable of talented running backs. Now, you have to throw the quarterback into the mix as well. After redshirt freshman Taylor Martinez gashed Western Kentucky for 127 yards and three touchdowns on just seven carries last Saturday, the Hu"
fineweb,18,news article,7,yes,no,no,7313,44,"Amazon.com (AMZN) will have a difficult time meeting analyst expectations this quarter given its several significant headwinds. The two most prominent headwinds relate to revenue, namely the imposition of state sales taxes on Amazon e-commerce revenue and the large increase in federal taxes impactin"
fineweb,19,blog post,7,yes,no,no,424,4,Tips for Preventing Medicare Fraud The Department of Health and Human Services (HHS) Office of the Inspector General (OIG) has created a new web site to provide tips for preventing Medicare fraud and medical identity theft. See HHS news release. OIG’s new web site includes a brochure containing tips
fineweb,20,news article,6,yes,no,no,707,6,"Polish-born Chicago boxer Andrew Golota will plead not guilty at a court date July 19 to charges of unlawful possession of 12 guns, his lawyer said Friday. ""There are two sides to every story, and we look forward to a full exploration of the most recent allegations against Andrew,"" Matthew P. Walsh "
fineweb,21,forum post,5,yes,no,no,1290,13,"I’ve a new release of NYTProf ready to upload but I’m stuck. The CPAN Testers service is reporting a failure on a number of systems but I can’t reproduce it locally or work out the cause. Can you reproduce the failure with Devel::NYTProf 2.07_94? If so, could you give me remote access via ssh? (Or s"
